Coord_x,Coord_y,ISOS_z,ISOS_Size_x,ISOS_Size_y,COST_z,COST_Size_x,COST_Size_y,Cone_Type(L=1;M=2;S=3)
40,145,30.74876297,7.14894685,8.60008335,54.64023486,9.146094057,9.713656808,1
41,95,NaN,NaN,NaN,NaN,NaN,NaN,3
41,176,29.67754152,8.098746653,8.49172301,54.25324064,8.242581641,10.23030523,1
41,217,29.82057222,16.00154306,17.91868327,57.28981774,9.456970102,8.72537679,2
42,26,31.26186837,7.969543412,9.682701972,55.85309021,9.383784501,7.608179212,1
42,125,32.16044235,11.72946621,16.29125525,58.41987925,6.421000004,9.702735809,1
42,164,29.42619008,8.096622136,12.29149309,53.91279081,6.265626547,11.02182245,2
42,256,32.10416714,7.723742757,17.34026567,56.9207722,9.119258565,13.21015079,1
43,34,32.2628934,7.688677632,15.7149962,56.9200253,8.354843674,11.456966,2
43,108,30.92434431,7.205418498,10.52854904,58.82829534,7.178258454,8.813799107,2
43,228,30.71474093,6.813255091,10.97348787,56.77033163,7.904188783,8.178182615,1
44,8,32.52665402,7.436657266,12.92017838,57.20571118,9.250672538,12.45463446,2
44,58,32.54143132,12.64646047,12.51617418,58.57774754,8.652608955,9.737366587,1
44,135,30.5064993,6.740885055,8.210610741,58.035069,8.712942225,8.99149297,2
44,153,31.28061865,6.610288409,10.9093939,55.63834429,5.976813201,7.783932953,1
45,19,32.07825811,8.586285412,13.50931364,57.46064088,8.006542255,10.14252768,1
45,67,32.01856539,6.437315705,8.987584157,51.41669813,6.992968259,8.285062278,2
45,245,29.6105931,10.23167346,8.862177399,56.34659075,11.97248165,13.03450783,1
46,43,32.35681835,7.15782911,12.59902124,54.94102153,12.05242763,9.822538913,2
47,100,30.46716328,6.824030105,9.684273675,57.80503536,8.856457092,10.86466869,1
47,143,30.1346578,5.863931821,9.817720352,53.79917196,6.694456739,10.08028138,2
48,33,32.28843691,9.269279424,15.80455156,57.04590258,10.39803513,17.18368013,2
48,52,33.05112991,7.378135956,12.07729386,60.62779418,12.57719292,15.17429739,2
48,92,30.79277811,7.116121858,8.470386853,48.99498304,10.96110479,16.51031976,1
48,125,32.38227541,5.384310274,12.79743299,56.28929392,6.11492897,8.297471998,1
48,178,28.88273126,6.447704961,10.70657667,54.08021944,8.777622182,13.13250673,1
48,220,29.97099648,10.21727855,10.08241454,55.66047118,9.288233734,7.492797428,2
49,70,32.42107511,10.14459477,17.87613551,54.55927184,11.45935039,11.22696346,1
49,193,34.18928913,5.997835076,9.593827875,57.17591823,7.959157344,13.31890672,3
50,61,32.76613638,6.597774865,10.26846092,57.21780412,6.0295039,8.433350359,3
50,158,32.11637979,5.225572649,9.641271524,57.00524026,9.561403599,15.0836718,1
50,239,30.03563925,9.280722559,13.35106585,54.86830326,8.854591952,9.548095186,1
51,44,31.83545642,12.12499834,12.70421607,58.57763174,10.25035175,9.932868316,1
51,110,29.27979681,7.338823809,8.784640418,55.3592575,16.41829214,14.73487768,1
51,134,30.35200161,4.833139116,9.604312609,56.06693827,5.895704197,7.57924396,1
51,200,30.43553143,8.818600046,13.10672598,54.94705979,7.988446065,11.72493411,1
52,151,30.6153485,8.843399239,13.04633397,53.65282214,7.573256341,8.976339238,1
52,211,31.30346272,11.32485402,9.887862835,53.14008383,14.68764853,10.93779599,1
53,98,31.5916251,7.286696804,13.30644118,54.40602319,5.838223711,8.142433434,2
53,117,32.787294,7.748688773,18.10114471,58.14557785,6.792933121,8.747910248,1
53,167,30.09770496,8.279901361,8.070427143,55.28453251,6.050183299,7.614605385,2
53,177,30.62299363,11.89547425,11.15813306,57.99758815,9.427141496,9.961679462,2
54,34,31.36911903,9.457389718,10.18577095,56.53019059,8.229362442,9.279697526,1
54,125,35.23946234,5.698257921,11.7764374,58.60620802,11.41222074,16.43132284,3
55,70,29.57551829,6.548589085,10.41634569,54.29330202,5.935882511,9.806552988,1
55,187,30.22055344,8.55823992,10.64779534,55.11432672,8.292703093,8.068032246,1
55,229,31.8405474,9.596682769,11.27046644,54.03512318,7.538993997,8.747722968,2
55,239,31.08956751,18.62598084,8.159471372,NaN,NaN,NaN,1
56,13,32.34448254,8.769767965,9.883029071,58.34917952,16.91958117,9.160229276,1
56,250,31.02291431,11.14122963,8.971999536,55.1470401,9.256770252,8.872815932,2
57,43,NaN,NaN,NaN,NaN,NaN,NaN,1
57,82,31.63317324,9.131372765,11.55478439,56.39867656,8.355092208,7.956259724,1
57,134,29.84187532,6.972591596,10.33034791,55.11674188,6.407500219,7.356389669,1
59,179,29.78862247,5.659641065,10.04562421,54.98948958,7.476535054,8.964076357,1
59,215,33.77085016,15.74010769,13.45617623,56.73624313,9.059025536,9.657024043,1
60,31,32.25025583,9.270236071,8.767650256,59.79242327,10.21690014,9.930728935,2
60,53,31.95727974,8.63024979,9.971807237,57.77849571,6.824488623,9.627568762,1
60,113,30.70204193,6.402647642,14.98232835,52.9214453,8.972531804,10.19303762,2
60,147,30.74436756,10.10233337,8.783056547,58.68156609,7.295269452,8.192157048,1
61,63,32.12071285,6.175817841,8.828840465,58.35650469,7.044776852,9.040306719,1
61,102,31.10684935,6.961681595,12.82569034,57.47860567,8.012151567,11.61876736,1
61,121,30.86460373,5.679017961,10.88159303,55.59603629,8.508309457,12.389501,2
61,169,29.36487741,5.960386099,7.728094925,NaN,NaN,NaN,2
61,236,32.30620061,17.84678036,12.96013844,57.56176608,8.741647225,9.905858281,2
