Coord_x,Coord_y,ISOS_z,ISOS_Size_x,ISOS_Size_y,COST_z,COST_Size_x,COST_Size_y,"Cone_Type(L=1;M=2;S=3; Undertermined=4, can ignore)"
34,233,32.34625082,6.120313604,8.192894972,59.81479767,7.522252412,8.968069955,1
35,116,31.47522899,7.519276778,9.758573463,58.25371514,8.285450282,8.504862205,1
35,261,32.49767186,9.427435381,13.33729599,60.05581512,11.76534982,9.825061517,1
35,271,32.65181939,8.810193803,10.73842378,60.24147292,9.865487826,9.255922151,1
36,38,29.11649226,19.54887645,13.83683031,59.07741435,19.92463264,15.26209806,1
36,144,32.8488217,6.852920479,7.490216023,59.8220225,8.435484229,7.830117948,1
37,173,31.44135097,7.278188675,16.13982735,59.26315176,7.921501295,13.24940808,1
38,190,32.54024208,7.711889678,8.538993723,58.03756477,9.433332663,9.39414734,1
38,241,30.8040155,6.740104407,9.331930451,57.43610174,8.155462571,9.14976623,1
39,93,29.99686069,11.26354202,11.40016042,59.76071711,11.86371445,10.62460334,1
39,126,32.42884701,19.61455496,11.5699942,59.74375184,13.26970426,10.72927698,NaN
39,134,31.41236565,7.551414401,8.617985076,60.73165411,9.12511472,10.35144473,1
39,289,31.76030084,8.651459519,9.050552313,57.77572656,13.26808453,13.04851651,1
40,274,31.76211832,10.76314947,15.39383799,60.8771783,12.74540207,12.86911101,1
41,44,30.63715698,7.758301038,11.92285995,58.93702572,10.22806296,8.462497657,1
41,64,30.97051225,7.456987089,11.08261637,57.03055476,10.0789127,9.355069525,1
42,25,30.89106788,9.861976825,18.59728557,57.59418228,8.755576422,10.83376604,1
42,201,33.53355907,7.966634231,8.782866754,59.30042566,8.710325957,8.429489208,1
43,35,30.14086258,7.622961641,12.62032601,56.01964514,8.297754659,10.42256178,1
43,74,30.82146764,6.660534699,8.765242956,58.99015024,9.760251604,9.527272211,1
43,211,34.6824661,8.397643018,8.463483015,62.88021469,8.891554445,9.698891287,1
43,234,30.44733945,9.446722003,14.38007671,56.8106888,10.64183949,12.69793469,1
45,14,32.76006738,7.543554954,13.75524056,60.45603204,9.222911029,10.62809718,1
45,137,30.43265506,8.352526079,8.670247105,53.18772174,7.796912518,10.74443779,1
45,219,33.80510466,7.101716058,8.271796249,61.28278269,10.52176194,9.594543689,3
45,253,32.73607192,7.15295588,8.38721197,58.80067868,9.802660242,8.986089527,1
45,286,31.93787401,8.809505841,9.558962453,57.15471053,11.46902737,13.63364056,1
46,99,37.84990216,6.286934647,7.683391949,55.00131963,7.998295822,11.27236639,3
46,117,30.93373213,9.423108358,11.94981083,59.44294582,8.310186871,8.870211143,1
46,156,30.28991762,7.372854702,11.84907018,58.11659317,13.13541459,14.11211477,1
47,59,31.04244229,7.251179477,9.596410894,60.18363601,14.34745266,13.04087947,1
47,88,31.02268419,10.10197318,13.86374145,60.51744216,8.903909398,11.24475862,1
47,129,32.73017805,8.160980282,9.059565795,57.97348074,11.09851982,12.00280427,3
47,194,33.24174044,6.045816338,9.714584738,58.4296361,8.511472792,11.34133354,1
47,274,34.33723591,8.998741301,9.822926827,58.86837356,14.47303668,12.20982419,3
48,145,31.3981273,11.78901994,19.11859215,59.30571097,13.51839965,11.63313826,1
